,Lot Number,Product,first_entry_date,last_entry_date,shop_order,requested_qty,resin,Formula Sheet,packaging,colorant,misc,purging solvent,label,PRINTER ACCESSORIES,lid component door,ifu,lid component rotor,lid assembly,LABEL,pad,lid component lid,lid component,lid component cap,lid component washer,lid component hood,lid component cowl,PAD,SILICON FLUID,label stock,rubber tip,container,lid,label kit,barrel,TRAY,tip cap,discontinued,fg,cannula,plunger,bracket key,Value Stream
5767,21B195891,WP7478,2021-05-17,2021-05-17,195891,21654.547,RM036,FS10002954,,RM018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5768,21B195892,WP7478,2021-05-24,2021-05-24,195892,21654.547,RM036,FS10002954,,RM018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5769,21B195898,PT00096202,2021-04-26,2021-04-26,195898,1343.000,RM176,DC00093992,R98028,PT00065942,,X9894,PT00089214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5770,21B195900,WP0002PKG,2021-04-14,2021-07-05,195900,32930.000,,FS20006470,X9902,,,,PT00097045,,,,,,R4227,R5097,,,,,,,,,,,,,,,,,,,,,,Containers
5771,21B195901,WP8526,2021-08-25,2021-08-25,195901,0,RM004,FS10002973,,,,,,,,,R7013,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5772,21B195914,WP8536,2021-02-05,2021-02-05,195914,8566.272,RM004,FS10002974,,,,,,X98146,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5773,21B195915,WP8536,2021-02-05,2021-02-08,195915,1853.280,RM004,FS10002974,,,,,,X98146,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5775,21B195943,WP7483,2021-06-08,2021-07-25,195943,256275.947,RM093,FS10002955,,,,,,,,,R7013,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5776,21B195946,WP4810,2021-04-28,2021-04-28,195946,20583.016,RM004,FS10006159,,,,,,,R7568,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5777,21B195948,R7013,2021-06-21,2021-07-28,195948,0,RM110,FS10002800,,PT00065942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5778,21B196036,WP8998,2021-04-20,2021-08-25,196036,0,RM093,DC00030203,R98028,PT00065942,,X9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5779,21B196037,WP8985,2021-06-18,2021-07-25,196037,0,RM093,DC00030201,R98028,PT00065942,,X9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5780,21B196038,WP8980-C,2021-05-12,2021-05-12,196038,0,RM004,FS10002991,,,,,,,,,R7013,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5781,21B196039,WP8979,2021-04-09,2021-07-05,196039,0,RM004,FS10002990,,,,,,,,,R7013,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5782,21B196041,WP8836P,2021-04-05,2021-04-08,196041,0,RM004,FS10006507,CL63R1779,PT00065943,,,,X98146,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5783,21B196042,WP8540,2021-04-20,2021-04-21,196042,15360.000,,FS10007856,R1612B,,,,,,WP7623,,,,,,R7622,,,,,R7624,,,,,,,,,,,,,,,,Containers
5784,21B196044,WP851201N,2021-05-06,2021-08-25,196044,16487.000,,FS10002967,,,,,,,,,,,,,R7067,R7068,,,,,,,,,,,,,,,,,,,,Containers
5785,21B196050,R7013,2021-04-27,2021-08-25,196050,0,RM110,FS10002800,,PT00065942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5787,21B196146,WP8998P,2021-04-13,2021-08-01,196146,0,RM176,DC00030204,R98028,PT00065942,,X9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5788,21B196148,WP8980-C,2021-05-26,2021-07-25,196148,0,RM004,FS10002991,,,,,,,,,R7013,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5789,21B196149,WP8979,2021-05-13,2021-05-13,196149,0,RM004,FS10002990,,,,,,,,,R7013,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5790,21B196150,WP8979,2021-04-21,2021-04-21,196150,0,RM004,FS10002990,,,,,,,,,R7013,,,,,,,,,,,,,,,,,,,,,,,,,Containers
